County,Tabulator ID,Batch,. of Ballots,Location
Douglas,1,GEN-0566,100,48
Douglas,1,GEN-0567,100,39
Douglas,1,GEN-0568,100,72
Douglas,1,GEN-0569,100,20
Douglas,1,GEN-0570,63,70
Douglas,1,GEN-0571,100,28
Douglas,1,GEN-0572,100,39
Douglas,1,GEN-0573,100,40
Douglas,1,GEN-0574,100,45
Douglas,1,GEN-0575,100,81
Douglas,1,GEN-0576,100,152
Douglas,1,GEN-0577,100,147
Douglas,1,GEN-0578,100,150
Douglas,1,GEN-0579,100,75
Douglas,1,GEN-0580,100,28
Douglas,1,GEN-0581,100,70
Douglas,1,GEN-0582,100,24
Douglas,1,GEN-0583,99,77
Douglas,1,GEN-0584,100,24
Douglas,1,GEN-0585,100,39
Douglas,1,GEN-0586,100,45
Douglas,1,GEN-0587,100,42
Douglas,1,GEN-0588,100,27
Douglas,1,GEN-0589,100,77
Douglas,1,GEN-0590,100,40
Douglas,1,GEN-0591,100,40
Douglas,1,GEN-0592,100,22
Douglas,1,GEN-0593,100,112
Douglas,1,GEN-0594,100,70
Douglas,1,GEN-0595,100,24
Douglas,1,GEN-0596,100,72
Douglas,1,GEN-0597,81,24
Douglas,1,GEN-0598,65,25
Douglas,1,GEN-0599,100,24
Douglas,1,GEN-0600,100,45
Douglas,1,GEN-0601,100,144
Douglas,1,GEN-0602,100,44
Douglas,1,GEN-0603,100,112
Douglas,1,GEN-0604,100,58
Douglas,1,GEN-0605,100,45
Douglas,1,GEN-0606,100,145
Douglas,1,GEN-0607,100,75
Douglas,1,GEN-0608,100,154
Douglas,1,GEN-0609,100,28
Douglas,1,GEN-0610,100,145
Douglas,1,GEN-0611,100,75
Douglas,1,GEN-0612,100,28
Douglas,1,GEN-0613,100,153
Douglas,1,GEN-0614,100,152
Douglas,1,GEN-0615,100,152
Douglas,1,GEN-0616,100,79
Douglas,1,GEN-0617,100,79
Douglas,1,GEN-0618,100,45
Douglas,1,GEN-0619,100,79
Douglas,1,GEN-0620,100,152
Douglas,1,GEN-0621,100,27
Douglas,1,GEN-0622,80,79
Douglas,1,GEN-0623,100,75
Douglas,1,GEN-0624,100,75
Douglas,1,GEN-0625,100,152
Douglas,1,GEN-0626,100,144
Douglas,1,GEN-0627,100,28
Douglas,1,GEN-0628,100,28
Douglas,1,GEN-0629,100,27
Douglas,1,GEN-0630,100,75
Douglas,1,GEN-0631,100,73
Douglas,1,GEN-0632,100,144
Douglas,1,GEN-0633,100,73
Douglas,1,GEN-0634,100,150
Douglas,1,GEN-0635,100,25
Douglas,1,GEN-0636,85,44
Douglas,1,GEN-0637,100,73
Douglas,1,GEN-0638,100,119
Douglas,1,GEN-0639,100,144
Douglas,1,GEN-0640,100,77
Douglas,1,GEN-0641,100,150
Douglas,1,GEN-0642,100,150
Douglas,1,GEN-0643,100,144
Douglas,1,GEN-0644,100,152
Douglas,1,GEN-0645,100,77
Douglas,1,GEN-0646,100,79
Douglas,1,GEN-0647,100,144
Douglas,1,GEN-0648,100,144
Douglas,1,GEN-0649,100,147
Douglas,1,GEN-0650,100,165
Douglas,1,GEN-0651,100,145
Douglas,1,GEN-0652,100,145
Douglas,1,GEN-0653,52,73
Douglas,1,GEN-0654,100,30
Douglas,1,GEN-0655,100,45
Douglas,1,GEN-0656,100,172
Douglas,1,GEN-0657,100,153
Douglas,1,GEN-0658,100,82
Douglas,1,GEN-0659,100,154
Douglas,1,GEN-0660,100,154
Douglas,1,GEN-0661,100,152
Douglas,1,GEN-0662,100,81
Douglas,1,GEN-0663,100,75
Douglas,1,GEN-0664,100,154
Douglas,1,GEN-0665,100,30
Douglas,1,GEN-0666,100,165
Douglas,1,GEN-0667,100,28
Douglas,1,GEN-0668,100,153
Douglas,1,GEN-0669,100,165
Douglas,1,GEN-0670,100,165
Douglas,1,GEN-0671,100,153
Douglas,1,GEN-0672,88,147
Douglas,1,GEN-0673,100,82
Douglas,1,GEN-0674,100,82
Douglas,1,GEN-0675,100,153
Douglas,1,GEN-0676,100,177
Douglas,1,GEN-0677,100,44
Douglas,1,GEN-0678,100,75
Douglas,1,GEN-0679,100,81
Douglas,1,GEN-0680,99,140
Douglas,1,GEN-0681,100,154
Douglas,1,GEN-0682,100,81
Douglas,1,GEN-0683,100,44
Douglas,1,GEN-0684,100,145
Douglas,1,GEN-0685,100,144
Douglas,1,GEN-0686,72,47
Douglas,1,GEN-0687,100,81
Douglas,1,GEN-0688,100,145
Douglas,1,GEN-0689,100,150
Douglas,1,GEN-0690,100,154
Douglas,1,GEN-0691,100,75
Douglas,1,GEN-0692,100,145
Douglas,1,GEN-0693,100,44
Douglas,1,GEN-0694,100,45
Douglas,1,GEN-0695,100,145
Douglas,1,GEN-0696,100,81
Douglas,1,GEN-0697,100,145
Douglas,1,GEN-0698,100,145
Douglas,1,GEN-0699,100,44
Douglas,1,GEN-0700,100,81
Douglas,1,GEN-0701,100,153
Douglas,1,GEN-0702,100,154
Douglas,1,GEN-0703,100,30
Douglas,1,GEN-0704,100,152
Douglas,1,GEN-0705,90,154
Douglas,1,GEN-0706,100,82
Douglas,1,GEN-0707,100,154
Douglas,1,GEN-0708,100,147
Douglas,1,GEN-0709,100,147
Douglas,1,GEN-0710,100,81
Douglas,1,GEN-0711,100,81
Douglas,1,GEN-0712,100,154
Douglas,1,GEN-0713,100,82
Douglas,1,GEN-0714,100,153
Douglas,1,GEN-0715,100,154
Douglas,1,GEN-0716,100,152
Douglas,1,GEN-0717,100,153
Douglas,1,GEN-0718,100,152
Douglas,1,GEN-0719,100,82
Douglas,1,GEN-0720,100,153
Douglas,1,GEN-0721,100,153
Douglas,1,GEN-0722,100,153
Douglas,1,GEN-0723,100,154
Douglas,1,GEN-0724,100,81
Douglas,1,GEN-0725,46,339
Douglas,1,GEN-0726,50,189
Douglas,1,GEN-0727,100,82
Douglas,1,GEN-0728,50,134
Douglas,1,GEN-0729,50,126
Douglas,1,GEN-0730,100,82
Douglas,1,GEN-0731,100,82
Douglas,1,GEN-0732,100,147
Douglas,1,GEN-0733,100,172
Douglas,1,GEN-0734,100,165
Douglas,1,GEN-0735,100,47
Douglas,1,GEN-0736,100,147
Douglas,1,GEN-0737,100,82
Douglas,1,GEN-0738,72,147
Douglas,1,GEN-0739,100,47
Douglas,1,GEN-0740,88,172
Douglas,1,GEN-0741,100,147
Douglas,1,GEN-0742,100,147
Douglas,1,GEN-0743,100,165
Douglas,1,GEN-0744,100,147
Douglas,1,GEN-0745,100,82
Douglas,1,GEN-0746,100,172
Douglas,1,GEN-0747,100,154
Douglas,1,GEN-0748,100,153
Douglas,1,GEN-0749,57,30
Douglas,1,GEN-0750,78,30
Douglas,1,GEN-0751,100,147
Douglas,1,GEN-0752,100,30
Douglas,1,GEN-0753,43,82
Douglas,1,GEN-0754,100,84
Douglas,1,GEN-0755,100,173
Douglas,1,GEN-0756,100,165
Douglas,1,GEN-0757,100,84
Douglas,1,GEN-0758,100,84
Douglas,1,GEN-0759,100,47
Douglas,1,GEN-0760,100,31
Douglas,1,GEN-0761,100,173
Douglas,1,GEN-0762,100,172
Douglas,1,GEN-0763,100,172
Douglas,1,GEN-0764,100,172
Douglas,1,GEN-0765,100,172
Douglas,1,GEN-0766,100,173
Douglas,1,GEN-0767,99,158
Douglas,1,GEN-0768,69,172
Douglas,1,GEN-0769,71,149
