County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,,,,,,,,,
Eagle,101,416,25,19,,,,,,,,,,,,,,,,
Eagle,101,417,25,19,,,,,,,,,,,,,,,,
Eagle,101,418,25,20,,,,,,,,,,,,,,,,
Eagle,101,419,25,20,,,,,,,,,,,,,,,,
Eagle,101,420,25,20,,,,,,,,,,,,,,,,
Eagle,101,421,25,20,,,,,,,,,,,,,,,,
Eagle,101,422,25,20,,,,,,,,,,,,,,,,
Eagle,101,423,25,20,,,,,,,,,,,,,,,,
Eagle,101,424,25,20,,,,,,,,,,,,,,,,
Eagle,101,425,25,20,,,,,,,,,,,,,,,,
Eagle,101,426,25,20,,,,,,,,,,,,,,,,
Eagle,101,427,25,20,,,,,,,,,,,,,,,,
Eagle,101,428,25,20,,,,,,,,,,,,,,,,
Eagle,101,429,25,20,,,,,,,,,,,,,,,,
Eagle,101,430,25,20,,,,,,,,,,,,,,,,
Eagle,101,431,25,20,,,,,,,,,,,,,,,,
Eagle,101,432,25,20,,,,,,,,,,,,,,,,
Eagle,101,433,25,20,,,,,,,,,,,,,,,,
Eagle,101,434,25,20,,,,,,,,,,,,,,,,
Eagle,101,435,25,20,,,,,,,,,,,,,,,,
Eagle,101,436,25,20,,,,,,,,,,,,,,,,
Eagle,101,437,25,20,,,,,,,,,,,,,,,,
Eagle,101,438,25,20,,,,,,,,,,,,,,,,
Eagle,101,439,25,20,,,,,,,,,,,,,,,,
Eagle,101,440,25,20,,,,,,,,,,,,,,,,
Eagle,101,441,25,20,,,,,,,,,,,,,,,,
Eagle,101,442,25,20,,,,,,,,,,,,,,,,
Eagle,101,443,25,20,,,,,,,,,,,,,,,,
Eagle,101,444,25,20,,,,,,,,,,,,,,,,
Eagle,101,445,25,20,,,,,,,,,,,,,,,,
Eagle,101,446,25,20,,,,,,,,,,,,,,,,
Eagle,101,447,14,20,,,,,,,,,,,,,,,,
Eagle,101,448,25,21,,,,,,,,,,,,,,,,
Eagle,101,449,25,21,,,,,,,,,,,,,,,,
Eagle,101,450,25,21,,,,,,,,,,,,,,,,
Eagle,101,451,26,21,,,,,,,,,,,,,,,,
Eagle,101,452,25,21,,,,,,,,,,,,,,,,
Eagle,101,453,25,21,,,,,,,,,,,,,,,,
Eagle,101,454,12,21,,,,,,,,,,,,,,,,
Eagle,101,455,24,21,,,,,,,,,,,,,,,,
Eagle,101,456,5,21,,,,,,,,,,,,,,,,
