County,Tabulator,Batch,. of Ballots,Location
Douglas,1,PRI-0551,100,73
Douglas,1,PRI-0552,100,30
Douglas,1,PRI-0553,72,19
Douglas,1,PRI-0554,100,30
Douglas,1,PRI-0555,92,18
Douglas,1,PRI-0556,100,33
Douglas,1,PRI-0557,100,19
Douglas,1,PRI-0558,100,18
Douglas,1,PRI-0559,100,73
Douglas,1,PRI-0560,100,30
Douglas,1,PRI-0561,100,73
Douglas,1,PRI-0562,98,73
Douglas,1,PRI-0563,100,48
Douglas,1,PRI-0564,100,48
Douglas,1,PRI-0565,100,30
Douglas,1,PRI-0566,100,48
Douglas,1,PRI-0567,100,73
Douglas,1,PRI-0568,100,48
Douglas,1,PRI-0569,100,48
Douglas,1,PRI-0570,100,73
Douglas,1,PRI-0571,100,30
Douglas,1,PRI-0572,59,73
Douglas,1,PRI-0573,76,30
Douglas,1,PRI-0574,100,50
Douglas,1,PRI-0575,100,30
Douglas,1,PRI-0576,91,75
Douglas,1,PRI-0577,100,50
Douglas,1,PRI-0578,100,30
Douglas,1,PRI-0579,56,18
Douglas,1,PRI-0580,100,73
Douglas,1,PRI-0581,74,72
Douglas,1,PRI-0582,100,50
Douglas,1,PRI-0583,100,30
Douglas,1,PRI-0584,100,33
Douglas,1,PRI-0585,100,72
Douglas,1,PRI-0586,100,75
Douglas,1,PRI-0587,100,30
Douglas,1,PRI-0588,100,75
Douglas,1,PRI-0589,94,19
Douglas,1,PRI-0590,100,50
Douglas,1,PRI-0591,100,72
Douglas,1,PRI-0592,100,18
Douglas,1,PRI-0593,100,30
Douglas,1,PRI-0594,100,18
Douglas,1,PRI-0595,100,48
Douglas,1,PRI-0596,100,50
Douglas,1,PRI-0597,100,18
Douglas,1,PRI-0598,100,50
Douglas,1,PRI-0599,100,73
Douglas,1,PRI-0600,100,50
Douglas,1,PRI-0601,100,18
Douglas,1,PRI-0602,100,73
Douglas,1,PRI-0603,100,50
Douglas,1,PRI-0604,100,48
Douglas,1,PRI-0605,100,50
Douglas,1,PRI-0606,100,50
Douglas,1,PRI-0607,100,30
Douglas,1,PRI-0608,100,73
Douglas,1,PRI-0609,100,73
Douglas,1,PRI-0610,100,30
Douglas,1,PRI-0611,100,18
Douglas,1,PRI-0612,101,73
Douglas,1,PRI-0613,87,48
Douglas,1,PRI-0614,63,18
Douglas,1,PRI-0615,100,19
Douglas,1,PRI-0616,100,18
Douglas,1,PRI-0617,100,18
Douglas,1,PRI-0618,100,18
Douglas,1,PRI-0619,100,18
Douglas,1,PRI-0620,100,72
Douglas,1,PRI-0621,100,30
Douglas,1,PRI-0622,100,48
Douglas,1,PRI-0623,93,19
Douglas,1,PRI-0624,100,32
Douglas,1,PRI-0625,100,30
Douglas,1,PRI-0626,100,50
Douglas,1,PRI-0627,76,30
Douglas,1,PRI-0628,100,48
Douglas,1,PRI-0629,100,48
Douglas,1,PRI-0630,69,30
Douglas,1,PRI-0631,100,30
Douglas,1,PRI-0632,100,48
