County,Tabulator,Batch #,# of ballots,Location
Adams,107,9,100,Box 107-1
Adams,107,10,100,Box 107-1
Adams,107,11,100,Box 107-1
Adams,107,12,100,Box 107-1
Adams,107,13,100,Box 107-1
Adams,107,14,100,Box 107-2
Adams,107,15,100,Box 107-2
Adams,107,16,99,Box 107-2
Adams,107,17,99,Box 107-2
Adams,107,18,100,Box 107-2
Adams,107,19,99,Box 107-2
Adams,107,20,100,Box 107-2
Adams,107,21,100,Box 107-2
Adams,107,22,100,Box 107-2
Adams,107,23,99,Box 107-2
Adams,107,24,98,Box 107-2
Adams,107,25,99,Box 107-2
Adams,107,26,105,Box 107-2
Adams,107,27,100,Box 107-2
Adams,107,28,100,Box 107-3
Adams,107,29,100,Box 107-3
Adams,107,30,99,Box 107-3
Adams,107,31,99,Box 107-3
Adams,107,32,100,Box 107-3
Adams,107,33,100,Box 107-3
Adams,107,34,100,Box 107-3
Adams,107,35,100,Box 107-3
Adams,107,36,100,Box 107-3
Adams,107,37,100,Box 107-3
Adams,107,38,100,Box 107-3
Adams,107,39,100,Box 107-3
Adams,107,40,100,Box 107-3
Adams,107,41,99,Box 107-4
Adams,107,42,100,Box 107-4
Adams,107,43,100,Box 107-4
Adams,107,44,100,Box 107-4
Adams,107,45,100,Box 107-4
Adams,107,46,100,Box 107-4
Adams,107,47,100,Box 107-4
Adams,107,48,99,Box 107-4
Adams,107,49,100,Box 107-4
Adams,107,50,99,Box 107-4
Adams,107,51,100,Box 107-4
Adams,107,52,100,Box 107-4
Adams,107,53,100,Box 107-4
Adams,107,54,99,Box 107-5
Adams,107,55,100,Box 107-5
Adams,107,56,100,Box 107-5
Adams,107,57,100,Box 107-5
Adams,107,58,99,Box 107-5
Adams,107,59,100,Box 107-5
Adams,107,60,100,Box 107-5
Adams,107,61,98,Box 107-5
Adams,107,62,99,Box 107-5
Adams,107,63,100,Box 107-5
Adams,107,64,99,Box 107-5
Adams,107,65,100,Box 107-5
Adams,107,66,100,Box 107-5
Adams,107,67,100,Box 107-5
Adams,109,1,100,Box 109-1
Adams,109,2,100,Box 109-1
Adams,109,3,97,Box 109-1
Adams,109,4,100,Box 109-1
Adams,109,5,100,Box 109-1
Adams,109,6,100,Box 109-1
Adams,109,7,100,Box 109-1
Adams,109,8,100,Box 109-1
Adams,109,9,98,Box 109-1
Adams,109,10,100,Box 109-1
Adams,109,11,100,Box 109-1
