county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id,audit_reason,discrepancy
Adams,Adams 12 Five Star School District Director District No 1,106-105-58,36,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:20:29.730,1251002,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-119-46,35,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:23:06.460,1258566,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-130-63,36,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:28:21.300,1265798,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-133-80,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:31:43.250,1267302,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-13-44,45,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:58:23.040,1191532,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-141-7,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:37:35.230,1272277,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-162-73,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:42:48.500,1282404,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-165-84,45,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:43:35.220,1285413,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-28-103,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 13:00:50.550,1200955,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-38-57,45,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:44:47.960,1207314,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-42-55,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 09:47:11.440,1208919,,FALSE
