County,Tabulator ID,Batch,# of Ballots,Location,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,270,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,271,23,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,272,24,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,273,23,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,274,23,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,275,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,276,22,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,277,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,278,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,279,24,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,280,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,281,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,282,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,283,13,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,284,28,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,285,24,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,286,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,287,18,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,288,21,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,289,20,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,290,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,291,18,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,292,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,293,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,294,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,295,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,296,20,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,297,18,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,298,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,299,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,300,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,301,10,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,302,23,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,303,24,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,304,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,305,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,306,20,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,307,21,Box 7,,,,,,,,,,,,,,,,,,,,,
