County,Tabulator,Batch,Ballots,Location
Douglas,1,GEN-0732,100,118
Douglas,1,GEN-0733,100,126
Douglas,1,GEN-0734,100,130
Douglas,1,GEN-0735,100,118
Douglas,1,GEN-0736,100,127
Douglas,1,GEN-0737,100,58
Douglas,1,GEN-0738,100,125
Douglas,1,GEN-0739,100,130
Douglas,1,GEN-0740,100,123
Douglas,1,GEN-0741,100,126
Douglas,1,GEN-0742,100,126
Douglas,1,GEN-0743,100,58
Douglas,1,GEN-0744,100,118
Douglas,1,GEN-0745,100,132
Douglas,1,GEN-0746,100,123
Douglas,1,GEN-0747,100,117
Douglas,1,GEN-0748,84,58
Douglas,1,GEN-0749,100,118
Douglas,1,GEN-0750,100,126
Douglas,1,GEN-0751,100,127
Douglas,1,GEN-0752,100,123
Douglas,1,GEN-0753,100,118
Douglas,1,GEN-0754,100,118
Douglas,1,GEN-0755,100,118
Douglas,1,GEN-0756,100,130
Douglas,1,GEN-0757,100,58
Douglas,1,GEN-0758,100,58
Douglas,1,GEN-0759,100,127
Douglas,1,GEN-0760,100,118
Douglas,1,GEN-0761,94,126
Douglas,1,GEN-0762,100,130
Douglas,1,GEN-0763,100,127
Douglas,1,GEN-0764,100,130
Douglas,1,GEN-0765,100,132
Douglas,1,GEN-0766,100,130
Douglas,1,GEN-0767,100,117
Douglas,1,GEN-0768,100,130
Douglas,1,GEN-0769,100,123
Douglas,1,GEN-0770,100,125
Douglas,1,GEN-0771,100,125
